House_Area,Num_Occupants,Temperature,Appliance_Usage,Consumption
152.0,5.0,31.0,2.0,453.11380208729486
229.0,7.0,23.0,5.0,731.7471022241034
142.0,7.0,39.0,6.0,747.6300202008988
64.0,5.0,15.0,11.0,586.4934337501992
156.0,7.0,15.0,,827.3646741467891
121.0,3.0,22.0,6.0,388.6238229402651
238.0,5.0,28.0,8.0,667.5673755163394
70.0,4.0,,5.0,428.52619100066056
152.0,5.0,17.0,2.0,568.0981508264732
171.0,7.0,36.0,6.0,799.3329312714815
260.0,3.0,36.0,8.0,445.012147668121
264.0,3.0,11.0,11.0,590.3850278028768
124.0,6.0,30.0,11.0,728.3194442104046
252.0,4.0,39.0,7.0,456.88894055063946
137.0,2.0,10.0,6.0,353.2738762211592
166.0,2.0,37.0,5.0,143.1327065716671
149.0,5.0,24.0,3.0,531.5461099279477
153.0,6.0,10.0,5.0,722.1793246584193
201.0,1.0,14.0,11.0,364.2817578943704
180.0,5.0,37.0,11.0,638.936151748533
199.0,6.0,38.0,4.0,466.88676993421336
102.0,4.0,25.0,11.0,500.9353090667666
51.0,4.0,28.0,2.0,320.0685667955572
137.0,4.0,13.0,9.0,580.7257520851164
285.0,4.0,12.0,6.0,615.4694654499847
207.0,4.0,26.0,5.0,488.61741451658213
87.0,6.0,26.0,9.0,769.3116661466948
179.0,,21.0,,760.1229240548973
241.0,3.0,37.0,3.0,279.84881458917795
237.0,2.0,39.0,2.0,83.54382637312587
70.0,7.0,38.0,5.0,576.5704942229072
210.0,4.0,23.0,9.0,596.7745904987603
253.0,1.0,30.0,3.0,189.5223407055234
107.0,7.0,15.0,4.0,835.5685498459092
71.0,6.0,12.0,2.0,574.1053460542144
285.0,1.0,37.0,2.0,82.30677822845364
138.0,1.0,18.0,4.0,171.11668430415563
98.0,1.0,14.0,6.0,301.36994605651194
268.0,3.0,33.0,4.0,354.74307341069476
108.0,6.0,38.0,2.0,581.5631427366485
219.0,1.0,26.0,2.0,127.99864514536542
269.0,4.0,23.0,9.0,657.1622593214228
237.0,5.0,30.0,11.0,739.8289923276039
,1.0,12.0,3.0,236.80440662540755
64.0,3.0,37.0,4.0,175.98083763689226
239.0,7.0,10.0,3.0,816.0452781035525
239.0,6.0,29.0,4.0,728.9522586942239
224.0,3.0,38.0,8.0,425.8912584240057
239.0,1.0,30.0,2.0,87.81748366140764
100.0,6.0,32.0,11.0,692.88456806878
157.0,5.0,10.0,9.0,621.9563448117217
104.0,1.0,12.0,11.0,384.21693959909055
